QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
FA-Nephro-Nephrotic-012,Nephrology,Nephrotic Syndromes,A patient with systemic lupus erythematosus is diagnosed with Diffuse Proliferative Glomerulonephritis. Electron microscopy of the renal biopsy is most likely to show immune complex deposition (IgG & C3) in which specific location?,Subepithelial space,Intramembranous or subendothelial space,Exclusively within the mesangium,Along the parietal layer of Bowman's capsule,Exclusively within the podocyte foot processes,B,
FA-Nephro-Nephrotic-013,Nephrology,Nephrotic Syndromes,A 4-year-old boy develops generalized edema. His mother reports he recently received his standard childhood vaccines. A diagnosis of Minimal Change Disease is made. Which of the following is a recognized 4I's cause of this disease?,Ischemia,Immunization,Infarction,Infiltration,Iatrogenic injury,B,
FA-Nephro-Nephrotic-014,Nephrology,Nephrotic Syndromes,A 45-year-old morbidly obese male presents with heavy proteinuria and edema. Renal biopsy shows segmental sclerosis and hyalinosis. Which primary glomerular disease is classically associated with obesity as a secondary cause?,Minimal Change Disease,Membranous Nephropathy,Focal Segmental Glomerulosclerosis,Diffuse Proliferative Glomerulonephritis,Diabetic Glomerulonephropathy,C,
FA-Nephro-Nephrotic-015,Nephrology,Nephrotic Syndromes,"A patient with rheumatoid arthritis is treated with gold salts. Six months later, he develops massive proteinuria. A renal biopsy reveals diffuse capillary and GBM thickening with ""spike & dome"" appearance on EM. Which other medication is classically known to cause this specific nephropathy?",Acetaminophen,Penicillamine,Lisinopril,Furosemide,Prednisone,B,
FA-Nephro-Nephrotic-016,Nephrology,Nephrotic Syndromes,"A 55-year-old male with a 20-year history of diabetes mellitus is informed that he has end-stage renal disease (ESRD). In the United States, what is the most common overall cause of ESRD?",Hypertensive nephrosclerosis,Polycystic kidney disease,Diabetic glomerulonephropathy,Focal segmental glomerulosclerosis,Membranous nephropathy,C,
FA-Nephro-Potter & Related-001,Nephrology,Potter Sequence & Related Conditions,"A neonate presents with a flattened nose, low-set ears, clubbed feet, and severe respiratory distress shortly after birth. Prenatal records indicate severe oligohydramnios. Which of the following is the primary cause of this neonate's respiratory distress?",Surfactant deficiency,Meconium aspiration,Pulmonary hypoplasia,Tracheoesophageal fistula,Congenital diaphragmatic hernia,C,
FA-Nephro-Potter & Related-002,Nephrology,Potter Sequence & Related Conditions,"A 45-year-old male presents with recurrent flank pain, hematuria, and a new diagnosis of hypertension. Family history is significant for a father who died of a ruptured Berry aneurysm. An ultrasound confirms multiple cysts in the renal cortex and medulla. A mutation on which chromosome is most likely responsible?",Chromosome 4,Chromosome 16,Chromosome 22,Chromosome 11,Chromosome 6,B,
FA-Nephro-Potter & Related-003,Nephrology,Potter Sequence & Related Conditions,A patient with known autosomal dominant polycystic kidney disease presents for routine follow-up. Blood pressure is 155/95 mmHg. Which of the following medication classes is the recommended treatment for his hypertension?,Beta-blockers,Calcium channel blockers,Angiotensin-converting enzyme inhibitors,Thiazide diuretics,Alpha-blockers,C,
FA-Nephro-Potter & Related-004,Nephrology,Potter Sequence & Related Conditions,"An infant is born with enlarged, echogenic kidneys and signs of Potter sequence. Genetic testing reveals an autosomal recessive subtype of polycystic kidney disease. The cysts in this specific condition are primarily due to a dilation of which structures?",Glomerular capsule,Proximal convoluted tubule,Loop of Henle,Collecting ducts,Afferent arterioles,D,
FA-Nephro-Potter & Related-005,Nephrology,Potter Sequence & Related Conditions,"Ultrasound of a newborn reveals a unilateral cystic, non-functional kidney. The other kidney is completely normal. What is the most accurate statement regarding the pathogenesis of this multicystic dysplastic kidney?",It is due to a mutation on chromosome 16,It is an inherited autosomal recessive condition,It results from an abnormal interaction between the ureteric bud and metanephric mesenchyme,It is caused by chronic placental insufficiency,It is classically caused by posterior urethral valves,C,
FA-Nephro-Potter & Related-006,Nephrology,Potter Sequence & Related Conditions,"A fetus is diagnosed with complete unilateral renal agenesis. Embryologically, this defect occurs because which primary structure completely fails to develop and differentiate?",Mesonephric duct,Paramesonephric duct,Ureteric bud,Urogenital sinus,Metanephric vesicle,C,
FA-Nephro-Potter & Related-007,Nephrology,Potter Sequence & Related Conditions,A male infant is evaluated for a weak urinary stream and a distended bladder. Ultrasound shows bilateral hydronephrosis. A voiding cystourethrogram is ordered to confirm the most common cause of bladder outlet obstruction in males. Which of the following is the most likely diagnosis?,Ureteropelvic junction obstruction,Multicystic dysplastic kidney,Posterior urethral valves,Autosomal recessive polycystic kidney disease,Vesicoureteral reflux,C,
FA-Nephro-Potter & Related-008,Nephrology,Potter Sequence & Related Conditions,"A neonate with Potter Sequence exhibits a flattened face and pulmonary hypoplasia. According to the standard mnemonic, which of the following physical findings is also a direct result of fetal compression in this sequence?",Macular cherry-red spot,Wrinkled skin,Cleft palate,Webbed neck,Polydactyly,B,
FA-Nephro-Potter & Related-009,Nephrology,Potter Sequence & Related Conditions,A 30-year-old male is newly diagnosed with Autosomal Dominant Polycystic Kidney Disease (ADPKD). Which of the following cardiovascular anomalies is highly associated with this specific condition?,Ventricular septal defect,Coarctation of the aorta,Mitral valve prolapse,Patent ductus arteriosus,Hypertrophic cardiomyopathy,C,
FA-Nephro-Potter & Related-010,Nephrology,Potter Sequence & Related Conditions,A patient with a strong family history of polycystic kidney disease undergoes genetic counseling. The counselor explains that 85% of cases are due to a PKD1 mutation. On which chromosome is this specific mutation located?,Chromosome 4,Chromosome 6,Chromosome 11,Chromosome 16,Chromosome 22,D,
FA-Nephro-RAAS-001,Nephrology,RAAS & Renovascular Disease,"During a state of volume depletion, specialized chemoreceptor cells in the distal convoluted tubule detect a change in sodium chloride concentration. What substance is secreted by the macula densa in direct response?",Renin,Angiotensinogen,Prostaglandins,Norepinephrine,Aldosterone,C,
FA-Nephro-RAAS-002,Nephrology,RAAS & Renovascular Disease,A patient experiences severe hypotension. Baroreceptor-lined cells surrounding the afferent arterioles sense the decreased renal perfusion pressure. These juxtaglomerular cells directly secrete which of the following into the bloodstream?,Angiotensin II,Aldosterone,Renin,Angiotensin-converting enzyme,Antidiuretic hormone,C,
FA-Nephro-RAAS-003,Nephrology,RAAS & Renovascular Disease,A patient is prescribed a medication that blocks the conversion of Angiotensin I to Angiotensin II via ACE. Where are the vascular endothelial cells that primarily facilitate this specific conversion located?,Juxtaglomerular apparatus of the kidney,Hepatocytes in the liver,Vascular endothelial cells of the lungs,Macula densa of the distal tubule,Zona glomerulosa of the adrenal cortex,C,
FA-Nephro-RAAS-004,Nephrology,RAAS & Renovascular Disease,"In response to systemic hypotension, Angiotensin II is produced. Within the kidney, Angiotensin II directly increases the reabsorption of sodium, bicarbonate, and water primarily at which specific segment?",Proximal convoluted tubule,Thin descending limb,Thick ascending limb,Distal convoluted tubule,Collecting duct,A,
FA-Nephro-RAAS-005,Nephrology,RAAS & Renovascular Disease,A patient with hyperaldosteronism is hypokalemic and alkalotic. Aldosterone increases acid secretion by upregulating the H+/ATPase pump. In which specific cell type does this primarily occur?,Principal cells of the collecting duct,Alpha-intercalated cells of the collecting duct,Macula densa cells of the DCT,Juxtaglomerular cells of the afferent arteriole,Podocytes of the glomerulus,B,
FA-Nephro-RAAS-006,Nephrology,RAAS & Renovascular Disease,A 68-year-old male smoker presents with severe secondary hypertension. Ultrasound reveals asymmetric kidney sizes. Which underlying pathology is the most common cause of this condition in this demographic?,Fibromuscular dysplasia of the distal renal artery,Atherosclerosis on the proximal 1/3 of the renal artery,Autosomal dominant polycystic kidney disease,Renin-secreting tumor of the juxtaglomerular apparatus,Bilateral renal artery stenosis,B,
FA-Nephro-RAAS-007,Nephrology,RAAS & Renovascular Disease,"A 28-year-old female presents with severe hypertension. Angiography of the renal arteries reveals a classic ""string of beads"" appearance. Which segment of the vasculature is typically affected in this fibromuscular dysplasia?",Proximal 1/3 of the main renal artery,Distal 2/3 of the renal artery and segmental branches,Renal vein and its tributaries,Afferent arteriole exclusively,Efferent arteriole exclusively,B,
FA-Nephro-RAAS-008,Nephrology,RAAS & Renovascular Disease,"A 70-year-old patient with hypertension is started on an ACE inhibitor. Three days later, labs reveal a sudden, dramatic spike in serum creatinine. Which underlying condition should be most strongly suspected?",Unilateral renal artery stenosis,Bilateral renal artery stenosis,Fibromuscular dysplasia,Minimal change disease,Acute interstitial nephritis,B,
FA-Nephro-RAAS-009,Nephrology,RAAS & Renovascular Disease,The Renin-Angiotensin-Aldosterone System is activated during hypotension. Renin is secreted by the kidneys and acts on angiotensinogen. In which specific organ is angiotensinogen primarily synthesized?,Kidneys,Lungs,Liver,Adrenal glands,Hypothalamus,C,
FA-Nephro-RAAS-010,Nephrology,RAAS & Renovascular Disease,"A trauma patient experiences massive hemorrhage, leading to low systemic blood pressure. This triggers sympathetic activation. The release of which specific neurotransmitter directly signals the juxtaglomerular cells in this pathway?",Acetylcholine,Dopamine,Serotonin,Epinephrine,Norepinephrine,E,
FA-Nephro-RAAS-011,Nephrology,RAAS & Renovascular Disease,"Aldosterone is synthesized in the adrenal glands and binds to receptors in the kidney. In the principal cells, aldosterone promotes sodium absorption and potassium secretion via the upregulation of which specific channel?",Na+/K+/2Cl- cotransporter,ENaC,Aquaporins,H+/ATPase,Na+/Cl- cotransporter,B,
FA-Nephro-RAAS-012,Nephrology,RAAS & Renovascular Disease,"A 35-year-old female presents with severe, difficult-to-control hypertension. Angiography reveals a ""string of beads"" appearance in her renal arteries. What is the classic demographic for this specific cause of renovascular disease?",Elderly males who smoke,Elderly females with diabetes,Young-middle aged women,Children under 10 years,African American males over 50,C,
FA-Nephro-Ana-001,Nephrology,Renal Anatomy,"During a routine abdominal CT scan, an incidental finding of a horseshoe kidney is noted. During fetal development, the normal ascent of these fused kidneys to their T12-L3 location was most likely arrested by which anatomical structure?",Superior mesenteric artery,Inferior mesenteric artery,Common iliac artery,Celiac trunk,Renal artery,B,
FA-Nephro-Ana-002,Nephrology,Renal Anatomy,"A 15-year-old female with Turner syndrome undergoes abdominal imaging, which reveals a horseshoe kidney. Due to this anatomical anomaly, she is at increased risk for which of the following specific complications?",Berry aneurysms,Hepatic cysts,Recurrent urinary tract infections,Pulmonary hypoplasia,Adrenal insufficiency,C,
FA-Nephro-Ana-003,Nephrology,Renal Anatomy,"A 40-year-old man presents with severe, colicky flank pain radiating to the groin. A ureteral calculus is suspected. Which of the following is one of the distinct anatomical narrowings where a stone is most likely to cause ureteral obstruction?",Renal hilum,Major calyx,Urethral meatus,Pelvic inlet,Bladder neck,D,
FA-Nephro-Ana-004,Nephrology,Renal Anatomy,"A 35-year-old female undergoes a total abdominal hysterectomy. During the procedure, the surgeon ligates the uterine artery. Which critical structure must be carefully identified and protected, as it passes immediately inferior to this artery?",Fallopian tube,Ovarian artery,Ureter,Internal iliac artery,Round ligament,C,
FA-Nephro-Ana-005,Nephrology,Renal Anatomy,A patient in profound shock develops acute kidney injury. The renal medulla is particularly prone to ischemia in such states. What primary anatomical/physiological factor accounts for this vulnerability?,It receives all of the cardiac output,It receives less blood flow than the renal cortex,It is supplied solely by the vasa recta,It lacks a venous drainage system,It contains no efferent arterioles,B,
FA-Nephro-Ana-006,Nephrology,Renal Anatomy,"A 25-year-old male presents with a sudden onset, left-sided varicocele that does not empty when recumbent. An abdominal mass compressing a major vessel is suspected. Which normal anatomical feature makes the left testicle more prone to this presentation compared to the right?",The left testicular artery originates higher on the aorta,The left renal vein is shorter than the right,The left gonadal vein drains directly into the left renal vein,The right gonadal vein drains into the right renal vein,The left pampiniform plexus has fewer venous valves,C,
FA-Nephro-Ana-007,Nephrology,Renal Anatomy,"During normal fetal development, the kidneys ascend from the pelvis to their final anatomical location. By which gestational week does this ascent to the T12-L3 level typically complete?",Week 4,Week 5,Week 9,Week 12,Week 36,C,
FA-Nephro-Ana-008,Nephrology,Renal Anatomy,"A surgeon is performing a complex pelvic operation on a male patient. While tracing the path of the ureter, the surgeon notes that it flows ""under the bridge"" before entering the bladder. In males, which structure represents this ""bridge""?",Uterine artery,Internal iliac artery,Inferior mesenteric artery,Vas deferens,Gonadal artery,D,
FA-Nephro-Ana-009,Nephrology,Renal Anatomy,"A 50-year-old female undergoes radiation therapy for pelvic organ malignancy, leading to ischemic stricture of the distal ureter. The distal portion of the ureter primarily receives its blood supply from branches of which major artery?",Renal artery,Gonadal artery,Common iliac artery,Internal iliac artery,Superior mesenteric artery,D,
FA-Nephro-Ana-010,Nephrology,Renal Anatomy,"A red blood cell enters the renal artery and travels through the kidney. After passing through the interlobar artery, which specific vascular structure will it enter next?",Segmental artery,Arcuate artery,Afferent arteriole,Interlobular artery,Efferent arteriole,B,
FA-Nephro-Ana-011,Nephrology,Renal Anatomy,"A 45-year-old male presents with a left-sided varicocele. Anatomically, the left renal vein receives blood from the left gonadal vein. Which other major vein directly acts as an additional tributary to the left renal vein?",Left suprarenal vein,Right gonadal vein,Inferior mesenteric vein,Splenic vein,Hepatic vein,A,
FA-Nephro-Embryo-001,Nephrology,Renal Embryology,Embryological development of the kidneys begins with a temporary structure that acts as a blueprint and eventually degenerates. At what week of gestation does this structure initially form?,Week 2,Week 3,Week 4,Week 5,Week 10,B,
FA-Nephro-Embryo-002,Nephrology,Renal Embryology,"A 30-year-old male undergoes a fertility evaluation, and imaging reveals an anomaly in his reproductive organs. The structures involved are embryologically derived from the mesonephros, which acts as a ""middleman"" kidney. When does this specific precursor structure primarily appear during gestation?",Week 3,Week 4,Week 5,Week 10,Week 36,B,
FA-Nephro-Embryo-003,Nephrology,Renal Embryology,A fetal ultrasound at 18 weeks shows normally developing permanent kidneys. The structure responsible for becoming the mature kidney (metanephros) originally appeared at which gestational week?,Week 3,Week 4,Week 5,Week 9,Week 12,C,
FA-Nephro-Embryo-004,Nephrology,Renal Embryology,A neonate is born with bilateral renal agenesis. This condition most likely resulted from a failure of interaction between the metanephric mesenchyme and which of the following embryological structures?,Pronephros,Mesonephric duct,Urogenital sinus,Ureteric bud,Wolffian duct,D,
FA-Nephro-Embryo-005,Nephrology,Renal Embryology,Which of the following mature renal structures is derived directly from the metanephric mesenchyme rather than the ureteric bud?,Collecting ducts,Renal pelves,Major calyces,Ureters,Distal convoluted tubule,E,
FA-Nephro-Embryo-006,Nephrology,Renal Embryology,A prenatal ultrasound at 20 weeks reveals unilateral hydronephrosis in a fetus. A congenital obstruction is suspected at the site that is typically the last to canalize during development. Which specific structure is most likely obstructed?,Ureterovesical junction,Urethral meatus,Ureteropelvic junction,Bladder neck,Renal calyx,C,
FA-Nephro-Embryo-007,Nephrology,Renal Embryology,"A developmental biologist is tracking the cellular lineage of the human renal system. By utilizing specific cellular markers during early gestation, she isolates the precursor cells that will eventually form the pronephros, mesonephros, and metanephros. All three of these embryological structures are exclusively derived from which primary germ layer?",Ectoderm,Endoderm,Mesoderm,Neural crest,Neuroectoderm,C,
FA-Nephro-Embryo-008,Nephrology,Renal Embryology,A neonate undergoes genetic evaluation for a congenital renal anomaly. A mutation is found that specifically disrupts the normal branching of the ureteric bud during embryogenesis. Which of the following mature structures will be most directly affected by this specific defect?,Glomerulus,Proximal convoluted tubule,Loop of Henle,Distal convoluted tubule,Collecting ducts,E,
FA-Nephro-Embryo-009,Nephrology,Renal Embryology,"Normal embryological development of the renal system involves the sequential formation of three distinct structures. The permanent kidney, or metanephros, initially arises in week 5 of gestation. By which specific gestational week is the canalization of this structure typically complete?",Week 8,Week 9,Week 10,Week 12,Week 36,C,
FA-Nephro-Embryo-010,Nephrology,Renal Embryology,"The mesonephros serves as the primary secretory organ for the developing fetus during early gestation. While it plays a crucial role in the development of male reproductive organs, its renal function is strictly temporary. By which gestational week does the mesonephros fully degenerate?",Week 5,Week 9,Week 10,Week 12,Week 36,D,
FA-Nephro-Embryo-011,Nephrology,Renal Embryology,"A fetus is evaluated at 7 weeks of gestation. At this specific stage of development, which structure serves as the primary secretory organ before it eventually degenerates?",Pronephros,Metanephros,Mesonephros,Ureteric bud,Metanephric mesenchyme,C,
FA-Nephro-Neoplasm-001,Nephrology,Renal Neoplasms,A 60-year-old male smoker with obesity presents with painless hematuria and a palpable right-sided flank mass. A biopsy of the mass reveals polygonal clear cells loaded with lipids. What is the most common subtype of this primary renal malignancy?,Urothelial carcinoma,Squamous cell carcinoma,Clear cell renal cell carcinoma,Renal oncocytoma,Wilms tumor,C,
FA-Nephro-Neoplasm-002,Nephrology,Renal Neoplasms,A patient diagnosed with renal cell carcinoma presents with a significantly elevated hematocrit. This finding is determined to be a paraneoplastic syndrome due to ectopic hormone production by the tumor. Which hormone is the tumor most likely secreting?,Adrenocorticotropic hormone (ACTH),Parathyroid hormone-related protein (PTHrP),Renin,Erythropoietin (EPO),Antidiuretic hormone (ADH),D,
FA-Nephro-Neoplasm-003,Nephrology,Renal Neoplasms,"A 3-year-old child presents with a large, unilateral flank mass, hematuria, and hypertension. Genetic testing reveals a loss of a tumor suppressor gene on chromosome 11 (WT1/WT2 mutation). Histology shows a triphasic pattern. This malignancy is frequently associated with which of the following clinical syndromes?",Goodpasture syndrome,WAGR syndrome,Alport syndrome,Fanconi syndrome,Potter sequence,B,
FA-Nephro-Neoplasm-004,Nephrology,Renal Neoplasms,"A 55-year-old male who worked for decades in a factory using aniline dyes presents with painless hematuria. Cystoscopy reveals a mass in the bladder. Given his specific occupational exposure, he is at highest risk for which of the following malignancies?",Renal cell carcinoma,Squamous cell carcinoma of the bladder,Wilms tumor,Urothelial carcinoma,Renal oncocytoma,D,
FA-Nephro-Neoplasm-005,Nephrology,Renal Neoplasms,An Egyptian male with a known history of chronic Schistosoma haematobium infection presents with hematuria. A bladder mass is discovered. The chronic inflammation of the bladder wall in this patient most strongly predisposes him to which specific type of carcinoma?,Clear cell carcinoma,Urothelial carcinoma,Squamous cell carcinoma,Adenocarcinoma of the bladder,Renal oncocytoma,C,
FA-Nephro-Neoplasm-006,Nephrology,Renal Neoplasms,A 30-year-old patient is found to have bilateral renal masses. Family history is significant for multiple relatives with similar kidney tumors at a young age. This hereditary presentation of Renal Cell Carcinoma is most classically associated with the inactivation of which specific gene?,WT1,WT2,VHL,BRCA1,TP53,C,
FA-Nephro-Neoplasm-007,Nephrology,Renal Neoplasms,"A renal mass is incidentally discovered on an abdominal CT scan. After surgical excision, pathology identifies it as a benign tumor originating from the collecting ducts, characterized by enlarged, eosinophilic cells with an increased number of mitochondria. What is the diagnosis?",Renal Cell Carcinoma,Wilms Tumor,Urothelial Carcinoma,Renal Oncocytoma,Squamous Cell Carcinoma,D,
FA-Nephro-Neoplasm-008,Nephrology,Renal Neoplasms,A 65-year-old obese male smoker is diagnosed with a sporadic Renal Cell Carcinoma. These sporadic tumors are classically found in which specific anatomical region of the kidney?,Renal pelvis,Major calyces,Lower poles,Upper poles,Renal hilum,D,
FA-Nephro-Neoplasm-009,Nephrology,Renal Neoplasms,"A patient presents with painless hematuria. He has a history of long-term use of cyclophosphamide. He is diagnosed with the most common lower urinary tract malignancy. While it most commonly affects the bladder, it can also involve other structures. Which of the following is one of those structures?",Glomerulus,Renal cortex,Renal calyces,Loop of Henle,Efferent arteriole,C,
FA-Nephro-Physio-001,Nephrology,Renal Physiology,A novel pharmacological agent is being studied. The renal clearance of this drug is calculated and found to be strictly equal to the patient's glomerular filtration rate (GFR). Which of the following best describes the renal handling of this substance?,Net tubular secretion occurs,Net tubular reabsorption occurs,It is completely blocked by the glomerular basement membrane,It is freely filtered with no net secretion or reabsorption,It is metabolized by the proximal tubule,D,
FA-Nephro-Physio-002,Nephrology,Renal Physiology,"In an experimental setting, a patient is infused with para-aminohippuric acid (PAH). The clearance of PAH is then calculated. This specific value is primarily used to provide an estimate of which of the following renal parameters?",Glomerular filtration rate,Effective renal plasma flow,Filtration fraction,Renal blood flow,Free water clearance,B,
FA-Nephro-Physio-003,Nephrology,Renal Physiology,A 28-year-old pregnant female presents for routine labs. Her estimated GFR is noted to be elevated compared to normal non-pregnant ranges. Which of the following is the most appropriate interpretation of this finding?,It indicates early diabetic nephropathy,It is a normal physiological association with pregnancy,It suggests pre-eclampsia,It is an artifact due to increased protein intake,It reflects a pathological decrease in efferent resistance,B,
FA-Nephro-Physio-004,Nephrology,Renal Physiology,A patient has their glomerular filtration rate estimated using endogenous creatinine clearance. Why does creatinine clearance typically slightly overestimate the true GFR?,Creatinine is actively reabsorbed in the proximal tubule,Creatinine is heavily bound to albumin,Creatinine is moderately secreted by the kidneys,Inulin is partially secreted by the distal convoluted tubule,Creatinine is rapidly metabolized by the renal cortex,C,
FA-Nephro-Physio-005,Nephrology,Renal Physiology,"A patient has an estimated GFR of 120 mL/min and an effective renal plasma flow (RPF) of 600 mL/min. What is the calculated filtration fraction (FF), and is it considered roughly normal?",10% which is low,20% which is normal,30% which is high,40% which is high,5% which is low,B,
FA-Nephro-Physio-006,Nephrology,Renal Physiology,"A patient presents with massive proteinuria, specifically consisting of negatively charged albumin. A defect in which specific structural component of the glomerular filtration barrier is most likely responsible for the loss of this charge barrier?",Glomerular endothelial fenestrations,Mesangial cells,Basement membrane and podocyte foot processes,Parietal layer of Bowman's capsule,Macula densa,C,
FA-Nephro-Physio-007,Nephrology,Renal Physiology,A 65-year-old male with chronic osteoarthritis takes high-dose NSAIDs daily. He presents with elevated serum creatinine. How do NSAIDs primarily alter glomerular dynamics to reduce GFR?,Preferential dilation of the efferent arteriole,Preferential constriction of the afferent arteriole,Increased permeability of the glomerular basement membrane,Direct toxicity to the proximal convoluted tubule,Obstruction of the collecting ducts,B,
FA-Nephro-Physio-008,Nephrology,Renal Physiology,"A patient with heart failure is started on an ACE inhibitor, which blocks the normal action of Angiotensin II. According to changes in glomerular dynamics, how will this medication affect the efferent arteriole and the resulting filtration fraction (FF)?",Constricts efferent arteriole and increases FF,Dilates efferent arteriole and increases FF,Constricts efferent arteriole and decreases FF,Dilates efferent arteriole and decreases FF,No effect on efferent arteriole and no change in FF,D,
FA-Nephro-Physio-009,Nephrology,Renal Physiology,"A runner completes a marathon without adequate fluid intake and becomes severely dehydrated. According to established changes in glomerular dynamics, what combination of changes is most expected regarding GFR, RPF, and Filtration Fraction (FF)?","Increased GFR, increased RPF, decreased FF","Decreased GFR, markedly decreased RPF, increased FF","Decreased GFR, decreased RPF, decreased FF","Increased GFR, decreased RPF, increased FF","Decreased GFR, increased RPF, no change in FF",B,
FA-Nephro-Physio-010,Nephrology,Renal Physiology,"A patient develops severe liver cirrhosis resulting in a decreased plasma protein concentration. According to the principles of glomerular dynamics, how will this alteration affect Glomerular Filtration Rate (GFR) and Filtration Fraction (FF)?",Decreased GFR and decreased FF,Increased GFR and increased FF,Decreased GFR and increased FF,Increased GFR and decreased FF,Unchanged GFR and unchanged FF,B,
FA-Nephro-Urea-001,Nephrology,Urea Cycle,"A neonate becomes increasingly lethargic and develops seizures on the third day of life. Blood tests reveal severe hyperammonemia, decreased blood urea nitrogen (BUN), and markedly elevated orotic acid levels. The patient most likely has an inherited defect in which of the following enzymes?",Carbamoyl phosphate synthetase 1,Arginosuccinate synthetase,Arginase,Ornithine transcarbamylase,Arginosuccinate lyase,D,
FA-Nephro-Urea-002,Nephrology,Urea Cycle,"A patient with advanced liver cirrhosis presents with altered mental status, asterixis, and cerebral edema. The accumulation of ammonia is crossing the blood-brain barrier. In a normal, healthy state, the final conversion of ammonia into urea is primarily achieved for excretion by which organ?",Kidneys,Liver,Brain,Spleen,Pancreas,A,
FA-Nephro-Urea-003,Nephrology,Urea Cycle,"During the normal physiological clearance of ammonia, the formation of citrulline takes place exclusively within a specific cellular compartment. Where does this specific step of the urea cycle occur?",Renal cytoplasm,Hepatic mitochondria,Hepatic smooth endoplasmic reticulum,Renal mitochondria,Hepatic cytoplasm,B,
FA-Nephro-Urea-004,Nephrology,Urea Cycle,"A patient with profound renal failure has severely elevated levels of urea in their blood. The excess urea leads to significant systemic toxicity. Which of the following is a direct, classical symptom of excess urea (uremia)?",Cerebral edema,Pericarditis,Asterixis,Maculopapular rash,Hemolytic anemia,B,
FA-Nephro-Urea-005,Nephrology,Urea Cycle,"A patient with severe liver cirrhosis develops lethargy and asterixis due to hyperammonemia. Treatment is divided into conservative and medical approaches. In addition to a low protein diet, which specific medical therapy is indicated?",Lactulose,Corticosteroids,Hemodialysis,Allopurinol,Sodium bicarbonate,A,
FA-Nephro-Urea-006,Nephrology,Urea Cycle,"A male infant is diagnosed with Ornithine Transcarbamylase Deficiency, the most commonly inherited condition affecting the urea cycle. What is the specific genetic inheritance pattern of this condition?",Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive,Mitochondrial inheritance,D,
FA-Nephro-RFT-001,Nephrology,Urinalysis & Renal Functions Test,A 22-year-old female presents with dysuria. Urine dipstick is strongly positive for nitrites. Which of the following gram-negative organisms is most likely responsible for this specific urinalysis finding?,Staphylococcus saprophyticus,Enterococcus faecalis,Escherichia coli,Candida albicans,Streptococcus pyogenes,C,
FA-Nephro-RFT-002,Nephrology,Urinalysis & Renal Functions Test,A pregnant patient in her third trimester presents with hypertension. Urinalysis reveals heavily positive protein. Which of the following conditions is most strongly associated with this finding?,Urinary tract infection,Acute interstitial nephritis,Pre-eclampsia,Rhabdomyolysis,Diabetes insipidus,C,
FA-Nephro-RFT-003,Nephrology,Urinalysis & Renal Functions Test,A patient presents with flank pain. Urinalysis reveals an alkalotic urine pH of 9.0. Which of the following is the most likely cause of this highly alkaline urine?,Type 2 Renal Tubular Acidosis,Type 4 Renal Tubular Acidosis,Diabetic Ketoacidosis,"Urease-positive urinary tract infection (e.g., Proteus)",Starvation,D,
FA-Nephro-RFT-004,Nephrology,Urinalysis & Renal Functions Test,"A military recruit undergoes intense physical training and complains of severe muscle pain. Urine dipstick is strongly positive for ""Large Blood."" What is the most likely cause of this urinalysis finding?",Nephrotic syndrome,Rhabdomyolysis,Hemolysis,Biliary obstruction,Pyelonephritis,B,
FA-Nephro-RFT-005,Nephrology,Urinalysis & Renal Functions Test,"A patient is evaluated for severe polyuria. A fluid deprivation test is performed, and the patient's urine specific gravity remains extremely low at 1.000. Which of the following conditions is highly associated with this finding?",Dehydration,Syndrome of inappropriate antidiuretic hormone secretion (SIADH),Diabetes insipidus,Cushing's syndrome,Pre-eclampsia,C,
FA-Nephro-RFT-006,Nephrology,Urinalysis & Renal Functions Test,"A patient receiving intravenous electrolyte therapy becomes difficult to arouse. Examination reveals absent deep tendon reflexes, bradycardia, and respiratory depression. Which specific electrolyte abnormality is directly causing these symptoms?",Hypernatremia,Hypocalcemia,Hypermagnesemia,Hypokalemia,Hyperkalemia,C,
FA-Nephro-RFT-007,Nephrology,Urinalysis & Renal Functions Test,A 45-year-old alcoholic male presents with involuntary muscle contractions. An electrocardiogram reveals polymorphic ventricular tachycardia (Torsades). Which electrolyte derangement is classically associated with this presentation?,Hypercalcemia,Hypomagnesemia,Hypernatremia,Hyperphosphatemia,Hyponatremia,B,
FA-Nephro-RFT-008,Nephrology,Urinalysis & Renal Functions Test,"A patient in acute renal failure undergoes an ECG, which shows tall-T waves and widened QRS complexes. This ECG pattern is the hallmark of which electrolyte abnormality?",Hyponatremia,Hypokalemia,Hyperkalemia,Hypercalcemia,Hypophosphatemia,C,
FA-Nephro-RFT-009,Nephrology,Urinalysis & Renal Functions Test,"Following a thyroidectomy, a patient complains of tingling. Tapping the cheek anterior to the earlobe results in twitching of the facial muscles (Chvostek sign). This clinical sign indicates which electrolyte abnormality?",Hypercalcemia,Hypocalcemia,Hypokalemia,Hypernatremia,Hypermagnesemia,B,
FA-Nephro-RFT-010,Nephrology,Urinalysis & Renal Functions Test,A patient with a history of jaundice provides a urine sample. The dipstick is highly positive for urobilinogen. Which of the following conditions is a primary cause of isolated elevated urobilinogen on urinalysis?,Urinary tract infection,Diabetic ketoacidosis,Hemolysis,Dehydration,Nephrotic syndrome,C,
